RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24123,314,2015,6,30,1331,-9,12,D,57.5705,6.1733,,,44F6,139,I,,1,1,C,1.5000,-9,,1440,436,,,4.4000,1075,97.0,,,0.8000,,290,3.8000,,,,,,,,,,,,,,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24125,316,2015,6,30,1941,-9,15,D,57.5742,6.1545,,,44F6,141,V,569,1,1,C,2.7000,-9,,1767,430,,,4.4000,1075,85.0,,,0.8000,,286,3.6000,,,,,,,,,,,,,,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24128,319,2015,7,1,0442,-9,16,D,57.6463,4.2883,,,44F4,67,V,571,1,1,C,3.0000,-9,,1962,210,,,4.4000,1075,73.0,,,0.8000,,266,3.8000,,,,,,,,,,,,,,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24129,320,2015,7,1,0830,-9,16,D,57.6787,3.5405,,,44F3,63,V,572,1,1,C,3.0000,-9,,1894,220,,,4.4000,1075,75.0,,,0.8000,,305,3.7000,,,,,,,,,,11.9,8.2,35.10,35.10,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24130,321,2015,7,1,1323,-9,30,D,57.7617,2.6108,,,44F2,68,V,573,1,1,C,2.8000,-9,,3476,220,,,4.4000,1075,74.0,,,0.8000,,47,3.7000,,,,,,,,,,12.1,7.7,34.99,35.02,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24134,325,2015,7,2,0921,-9,15,D,57.9376,5.4031,,,44F5,159,V,577,1,1,C,2.6000,-9,,1680,447,,,4.4000,1075,95.0,,,0.8000,,132,3.6000,,,,,,,,,,14.0,7.7,31.72,35.32,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24136,327,2015,7,2,1833,-9,29,D,58.0778,5.0455,,,45F5,196,V,579,1,1,C,2.6000,-9,,3216,550,,,4.4000,1075,97.0,,,0.8000,,122,3.5000,,,,,,,,,,13.0,7.8,32.69,35.33,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24139,330,2015,7,3,0301,-9,16,D,58.1793,3.3992,,,45F3,81,V,581,1,1,C,3.1000,-9,,1892,240,,,4.4000,1075,76.0,,,0.8000,,313,3.8000,,,,,,,,,,12.5,7.6,34.75,35.12,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24140,331,2015,7,3,0635,-9,15,D,58.2163,2.6629,,,45F2,70,V,582,1,1,C,2.9000,-9,,1671,230,,,4.4000,1075,73.0,,,0.8000,,320,3.6000,,,,,,,,,,12.1,7.6,35.09,35.06,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24142,333,2015,7,3,1859,-9,15,D,58.3628,4.1121,,,45F4,170,V,583,1,1,C,2.7000,-9,,1722,456,,,4.4000,1075,86.0,,,0.8000,,142,3.7000,,,,,,,,,,12.7,7.7,32.46,35.32,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24146,337,2015,7,4,1121,-9,15,D,58.6675,3.6291,,,46F3,165,V,586,1,1,C,2.7000,-9,,1763,495,,,4.4000,1075,85.0,,,0.8000,,344,3.7000,,,,,,,,,,12.7,7.7,33.24,35.32,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24147,338,2015,7,4,1614,-9,30,D,58.6854,2.5242,,,46F2,104,V,587,1,1,C,2.8000,-9,,3621,313,,,4.4000,1075,80.0,,,0.8000,,353,3.8000,,,,,,,,,,,,,,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24154,345,2015,7,5,1938,-9,15,D,59.2423,3.2867,,,47F3,150,V,591,1,1,C,2.3000,-9,,1791,450,,,4.4000,1075,93.0,,,0.8000,,346,3.6000,,,,,,,,,,12.8,8.2,34.69,35.35,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24157,348,2015,7,6,0508,-9,15,D,59.3880,2.2997,,,47F2,125,V,593,1,1,C,2.6000,-9,,1736,370,,,4.4000,1075,83.0,,,0.8000,,164,3.6000,,,,,,,,,,12.1,7.7,35.22,35.33,,,,,,,,,,
