RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,385,385,2019,11,10,0737,G2Q4,30,D,57.6410,-8.4310,57.6170,-8.4670,44E1,152,V,74SC0442,1,1,R,5.0000,-9,,3452,475,28,,4.5000,1100,100.0,20.0,186,0.7000,,207,3.7000,,101,0.1000,,,150,13,130,3.5000,11.6,10.2,35.00,35.31,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,397,397,2019,11,13,0949,G2Q4,30,D,57.0760,-8.4860,57.0460,-8.4860,43E1,140,V,74SC0453,1,1,R,5.1000,-9,,3338,460,28,,4.5000,1100,96.0,20.0,186,0.7000,,180,3.6000,,180,0.5000,,,123,13,290,4.0000,11.5,10.3,34.93,35.30,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,353,353,2017,11,14,0734,G1Q4,30,D,58.7000,-4.1110,58.7250,-4.1430,46E5,105,V,74SC0353,1,1,R,5.6000,-9,,3564,350,28,,4.5000,1100,89.0,18.0,186,0.7000,,320,3.7000,,131,0.2000,,,274,12,270,1.0000,11.4,11.6,34.78,34.86,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,354,354,2017,11,14,1028,G1Q4,30,D,58.8890,-4.5870,58.9050,-4.5370,46E5,81,V,74SC0354,1,1,R,5.7000,-9,,3743,270,28,,4.5000,1100,81.0,17.0,186,0.7000,,56,3.7000,,253,0.3000,,,270,11,260,1.0000,11.3,11.4,34.88,34.88,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,47,I2,P,355,355,2017,11,14,1309,G1Q4,30,D,58.9470,-4.1300,58.9770,-4.1440,46E5,50,V,74SC0355,1,1,R,6.4000,-9,,3518,190,28,,4.5000,1100,57.0,16.0,186,0.7000,,338,3.8000,,206,0.3000,,,253,14,260,2.0000,11.2,11.3,35.00,35.00,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,356,356,2017,11,14,1519,G1Q4,30,D,59.1360,-4.1040,59.1560,-4.1450,47E5,95,V,74SC0356,1,1,R,5.9000,-9,,3496,310,28,,4.5000,1100,81.0,17.0,186,0.7000,,306,3.5000,,110,0.2000,,,260,15,260,1.5000,11.3,11.3,35.11,35.12,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,357,357,2017,11,15,0736,R1Q4,30,D,59.8650,-5.0040,59.8470,-5.0520,48E4,160,V,74SC0357,1,1,R,5.0000,-9,,3626,510,28,,4.5000,1100,101.0,19.0,186,0.7000,,250,3.6000,,332,0.2000,,,278,10,278,1.5000,10.9,10.5,35.21,35.27,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,358,358,2017,11,15,0947,R1Q4,30,D,59.8890,-4.6540,59.8960,-4.5950,48E5,125,V,74SC0358,1,1,R,5.2000,-9,,3629,413,28,,4.5000,1100,95.0,19.0,186,0.7000,,75,3.7000,,248,0.2000,,,290,5,290,1.0000,10.7,10.5,35.23,35.27,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,359,359,2017,11,15,1226,R1Q4,16,D,60.1040,-4.5820,60.1160,-4.5570,49E5,273,V,74SC0359,1,1,R,4.5000,-9,,2030,870,28,,4.5000,1100,112.0,20.0,186,0.7000,,56,3.9000,,322,0.1000,,,220,11,230,2.5000,10.3,10.1,35.25,35.33,,,,,,,,,,
HH,SCOWCGFS,1,GB-SCT,748S,GOV,97,I2,P,64,64,2014,2,18,0659,G1Q1,30,D,59.2400,-4.5780,59.2680,-4.5880,47E5,85,V,74SC0053,1,1,R,4.8000,-9,,3392,285,28,,4.5000,1100,85.0,18.0,186,0.7000,,344,3.6000,,19,0.0000,,,60,14,20,2.0000,,,35.17,35.17,,,,,,,,,,
