V1,V2,V3
-4.31522727272727,58.6311111111111,-52.1302909851074
-4.14681818181818,58.6311111111111,-17.8902912139893
-3.97840909090909,58.6311111111111,-25.2828350067139
-3.81,58.6311111111111,-21.2228355407715
-3.64159090909091,58.6311111111111,13.6371650695801
-3.47318181818182,58.6311111111111,29.8371658325195
-3.30477272727273,58.6311111111111,29.8671646118164
-3.13636363636363,58.6311111111111,35.4671630859375
-2.96795454545454,58.6311111111111,-47.212833404541
-2.79954545454545,58.6311111111111,-63.070671081543
-2.63113636363636,58.6311111111111,-67.050666809082
-2.46272727272727,58.6311111111111,-70.5606689453125
-2.29431818181818,58.6311111111111,-72.440673828125
-2.12590909090909,58.6311111111111,-83.8806686401367
-1.9575,58.6311111111111,-91.3406677246094
-1.78909090909091,58.6311111111111,-98.3799896240234
-1.62068181818182,58.6311111111111,-109.519989013672
-1.45227272727272,58.6311111111111,-108.879989624023
-1.28386363636363,58.6311111111111,-103.599990844727
-1.11545454545454,58.6311111111111,-105.439987182617
-0.947045454545453,58.6311111111111,-120.369987487793
-0.778636363636362,58.6311111111111,-126.572509765625
-0.61022727272727,58.6311111111111,-126.122505187988
-0.44181818181818,58.6311111111111,-118.362503051758
-0.273409090909089,58.6311111111111,-131.712509155273
-0.104999999999999,58.6311111111111,-139.182510375977
0.0634090909090919,58.6311111111111,-142.802505493164
0.231818181818184,58.6311111111111,-145.512512207031
0.400227272727275,58.6311111111111,-136.735000610352
0.568636363636365,58.6311111111111,-144.544998168945
0.737045454545456,58.6311111111111,-143.604995727539
0.905454545454548,58.6311111111111,-134.775009155273
1.07386363636364,58.6311111111111,-130.074996948242
1.24227272727273,58.6311111111111,-124.905006408691
1.41068181818182,58.6311111111111,-121.714996337891
1.57909090909091,58.6311111111111,-120.814994812012
1.7475,58.6311111111111,-108.584991455078
1.91590909090909,58.6311111111111,-100.014991760254
2.08431818181818,58.6311111111111,-92.5249938964844
2.25272727272727,58.6311111111111,-94.8649978637695
2.42113636363636,58.6311111111111,-98.9292984008789
2.58954545454545,58.6311111111111,-102.059295654297
2.75795454545455,58.6311111111111,-107.239295959473
2.92636363636364,58.6311111111111,-113.509300231934
3.09477272727273,58.6311111111111,-103.409301757812
3.26318181818182,58.6311111111111,-105.839302062988
3.43159090909091,58.6311111111111,-111.409301757812
3.6,58.6311111111111,-157.487060546875
3.76840909090909,58.6311111111111,-224.597061157227
3.93681818181818,58.6311111111111,-264.267059326172
4.10522727272727,58.6311111111111,-283.017059326172
4.27363636363636,58.6311111111111,-280.787048339844
4.44204545454546,58.6311111111111,-272.22705078125
4.61045454545455,58.6311111111111,-267.3056640625
4.77886363636364,58.6311111111111,-264.385681152344
4.94727272727273,58.6311111111111,-256.905670166016
5.11568181818182,58.6311111111111,-261.135681152344
5.28409090909091,58.6311111111111,-259.585662841797
5.4525,58.6311111111111,-260.625671386719
5.62090909090909,58.6311111111111,42.266544342041
5.78931818181818,58.6311111111111,185.95654296875
5.95772727272728,58.6311111111111,246.586547851562
6.12613636363637,58.6311111111111,199.826538085938
6.29454545454546,58.6311111111111,490.246551513672
6.46295454545455,58.6311111111111,475.266540527344
6.63136363636364,58.6311111111111,507.196533203125
6.79977272727273,58.6311111111111,358.910675048828
6.96818181818182,58.6311111111111,553.1806640625
7.13659090909091,58.6311111111111,645.420654296875
7.305,58.6311111111111,726.270690917969
7.47340909090909,58.6311111111111,521.080688476562
7.64181818181818,58.6311111111111,414.640686035156
7.81022727272727,58.6311111111111,331.545013427734
7.97863636363637,58.6311111111111,476.245025634766
8.14704545454546,58.6311111111111,420.535034179688
8.31545454545455,58.6311111111111,227.975021362305
8.48386363636364,58.6311111111111,261.295013427734
8.65227272727273,58.6311111111111,207.375015258789
8.82068181818182,58.6311111111111,142.445022583008
8.98909090909091,58.6311111111111,31.3859710693359
9.1575,58.6311111111111,-57.7140274047852
9.32590909090909,58.6311111111111,-195.574035644531
9.49431818181818,58.6311111111111,-466.464019775391
9.66272727272727,58.6311111111111,-486.834014892578
9.83113636363636,58.6311111111111,-489.694030761719
9.99954545454545,58.6311111111111,-473.112579345703
10.1679545454545,58.6311111111111,-345.912567138672
10.3363636363636,58.6311111111111,-267.602569580078
10.5047727272727,58.6311111111111,-199.522567749023
10.6731818181818,58.6311111111111,-144.032562255859
10.8415909090909,58.6311111111111,-78.1125717163086
11.01,58.6311111111111,-51.3372840881348
11.1784090909091,58.6311111111111,-41.277286529541
11.3468181818182,58.6311111111111,9.24271488189697
11.5152272727273,58.6311111111111,86.6927185058594
11.6836363636364,58.6311111111111,119.492713928223
11.8520454545455,58.6311111111111,117.662712097168
12.0204545454545,58.6311111111111,118.222717285156
12.1888636363636,58.6311111111111,126.249969482422
12.3572727272727,58.6311111111111,66.9599685668945
12.5256818181818,58.6311111111111,59.7199668884277
